               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.084482,            0.033037,                   0,           0.0033333,                   1,            0.010529,           0.0024033,             0.05334,            0.020478,                   0,            0.003254,            0.003254,            0.070714
                   1,            0.064331,            0.022158,                   0,           0.0047836,                   1,            0.058529,            0.018681,            0.065301,            0.012192,                   0,           0.0065547,           0.0065547,            0.040682
                   2,            0.058622,            0.017234,                   0,           0.0033333,                   1,            0.009408,           0.0015395,              0.0623,            0.011409,                   0,           0.0098224,           0.0098224,            0.010616
                   3,            0.050028,            0.014666,                   0,             0.56606,                   1,             0.82833,             0.26513,            0.068239,           0.0073939,                   0,           0.0098515,           0.0098515,           0.0098515
                   4,            0.042729,            0.012715,                   0,             0.89976,                   1,               0.995,             0.34837,            0.049405,            0.010031,                   0,           0.0098515,           0.0098515,           0.0098515
                   5,            0.036559,            0.011341,                   0,            0.015504,                   1,             0.22111,            0.052726,            0.062575,           0.0080263,                   0,            0.009802,            0.009802,            0.009802
                   6,            0.036429,            0.010271,                   0,             0.96676,                   1,               0.995,             0.12461,            0.046864,           0.0080372,                   0,           0.0097525,           0.0097525,           0.0097525
                   7,            0.031831,           0.0095012,                   0,             0.97618,                   1,               0.995,             0.24966,            0.037958,            0.008998,                   0,            0.009703,            0.009703,            0.009703
                   8,            0.032059,           0.0093442,                   0,             0.97547,                   1,               0.995,             0.20385,            0.041345,           0.0083909,                   0,           0.0096535,           0.0096535,           0.0096535
                   9,            0.030415,           0.0089772,                   0,             0.97747,                   1,               0.995,             0.21144,            0.048343,           0.0087719,                   0,            0.009604,            0.009604,            0.009604
                  10,            0.030484,            0.009048,                   0,             0.97509,                   1,               0.995,              0.2985,            0.040488,           0.0075191,                   0,           0.0095545,           0.0095545,           0.0095545
                  11,            0.029102,           0.0081948,                   0,             0.65668,             0.97004,             0.82833,             0.19971,            0.052489,           0.0073797,                   0,            0.009505,            0.009505,            0.009505
                  12,             0.02881,           0.0081351,                   0,             0.48933,                 0.5,             0.56167,            0.056167,            0.047845,           0.0080952,                   0,           0.0094555,           0.0094555,           0.0094555
                  13,            0.027323,            0.008466,                   0,             0.97616,                   1,               0.995,             0.21431,             0.04483,           0.0066458,                   0,            0.009406,            0.009406,            0.009406
                  14,            0.027281,           0.0078416,                   0,             0.48859,                 0.5,              0.3725,            0.073111,            0.049612,           0.0088419,                   0,           0.0093565,           0.0093565,           0.0093565
                  15,            0.026694,           0.0080076,                   0,             0.97853,                   1,               0.995,             0.16217,            0.047347,           0.0080288,                   0,            0.009307,            0.009307,            0.009307
                  16,            0.026775,           0.0078585,                   0,             0.66259,             0.98776,             0.82833,             0.14917,            0.048746,           0.0074803,                   0,           0.0092575,           0.0092575,           0.0092575
                  17,            0.026731,           0.0079643,                   0,             0.97744,                   1,               0.995,             0.20957,            0.042709,           0.0074799,                   0,            0.009208,            0.009208,            0.009208
                  18,            0.025155,            0.007626,                   0,             0.97724,                   1,               0.995,             0.23486,            0.043568,           0.0072201,                   0,           0.0091585,           0.0091585,           0.0091585
