               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095546,            0.025706,                   0,          0.00064516,                 0.6,           0.0051358,           0.0015045,            0.055448,           0.0095919,                   0,           0.0032759,           0.0032759,            0.070517
                   1,            0.060939,            0.018647,                   0,           0.0061023,                 0.9,            0.039808,            0.011134,            0.051958,           0.0059568,                   0,           0.0065874,           0.0065874,            0.040495
                   2,            0.056313,            0.015578,                   0,             0.18617,                 0.4,             0.24762,            0.069479,            0.039853,            0.004655,                   0,           0.0098769,           0.0098769,            0.010452
                   3,            0.046806,            0.013464,                   0,             0.98118,                   1,               0.995,             0.61376,            0.021555,            0.002999,                   0,            0.009901,            0.009901,            0.009901
                   4,            0.039669,           0.0095866,                   0,             0.98201,                   1,               0.995,             0.54259,            0.024339,           0.0021633,                   0,            0.009901,            0.009901,            0.009901
                   5,            0.035365,            0.007634,                   0,             0.98401,                   1,               0.995,             0.68733,            0.017715,           0.0018882,                   0,            0.009868,            0.009868,            0.009868
                   6,            0.034489,            0.006846,                   0,              0.9895,                   1,               0.995,               0.581,            0.025207,           0.0017024,                   0,            0.009835,            0.009835,            0.009835
                   7,            0.030544,           0.0063677,                   0,              0.9848,                   1,               0.995,             0.68405,            0.025294,           0.0016348,                   0,            0.009802,            0.009802,            0.009802
                   8,            0.031108,           0.0062677,                   0,             0.99005,                   1,               0.995,             0.79108,             0.01558,           0.0014898,                   0,            0.009769,            0.009769,            0.009769
                   9,            0.027962,           0.0059372,                   0,             0.98843,                   1,               0.995,             0.79527,            0.012757,            0.001423,                   0,            0.009736,            0.009736,            0.009736
                  10,             0.02713,           0.0056483,                   0,             0.99161,                   1,               0.995,             0.78122,            0.018258,           0.0013932,                   0,            0.009703,            0.009703,            0.009703
                  11,            0.027172,           0.0055365,                   0,             0.98834,                   1,               0.995,              0.7755,            0.015033,            0.001395,                   0,             0.00967,             0.00967,             0.00967
                  12,            0.026843,           0.0056373,                   0,             0.99373,                   1,               0.995,              0.7445,            0.020731,           0.0012879,                   0,            0.009637,            0.009637,            0.009637
                  13,            0.025747,            0.005292,                   0,             0.98856,                   1,               0.995,             0.76436,            0.010671,           0.0013475,                   0,            0.009604,            0.009604,            0.009604
                  14,            0.025973,           0.0053772,                   0,             0.99032,                   1,               0.995,             0.70122,            0.022346,           0.0013935,                   0,            0.009571,            0.009571,            0.009571
                  15,            0.025632,           0.0053345,                   0,             0.99388,                   1,               0.995,             0.81506,            0.013827,           0.0012323,                   0,            0.009538,            0.009538,            0.009538
                  16,            0.024047,           0.0050834,                   0,             0.99393,                   1,               0.995,             0.85805,            0.011349,           0.0011377,                   0,            0.009505,            0.009505,            0.009505
                  17,            0.024979,           0.0052083,                   0,             0.99429,                   1,               0.995,             0.83389,            0.012164,           0.0011638,                   0,            0.009472,            0.009472,            0.009472
