               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095629,            0.025694,                   0,          0.00096774,                 0.9,           0.0027853,          0.00060367,            0.053777,           0.0095864,                   0,           0.0032759,           0.0032759,            0.070517
                   1,            0.060525,            0.018723,                   0,            0.049378,                   1,             0.44692,             0.18574,            0.031369,           0.0065674,                   0,           0.0065656,           0.0065656,            0.040474
                   2,            0.056862,            0.015582,                   0,             0.40021,                 0.2,             0.36843,             0.13661,             0.04481,           0.0049569,                   0,           0.0098113,           0.0098113,            0.010386
                   3,            0.045996,            0.013251,                   0,             0.80964,                   1,               0.945,             0.54517,            0.026015,           0.0027747,                   0,            0.009802,            0.009802,            0.009802
                   4,             0.04039,           0.0099443,                   0,             0.95493,                   1,               0.995,             0.55444,            0.023173,           0.0022888,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.036559,           0.0078618,                   0,             0.98495,                   1,               0.995,             0.60432,            0.023282,           0.0018529,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.033385,            0.006658,                   0,             0.98578,                   1,               0.995,             0.63197,            0.024732,           0.0015467,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.030372,           0.0064194,                   0,             0.98563,                   1,               0.995,             0.70351,            0.021739,           0.0014589,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.030478,           0.0062509,                   0,             0.99005,                   1,               0.995,             0.77677,            0.015559,           0.0014373,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.027322,           0.0059475,                   0,             0.89771,                   1,             0.98591,             0.74381,            0.022219,           0.0015284,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.027904,           0.0057576,                   0,              0.9934,                   1,               0.995,             0.74667,            0.019556,           0.0012796,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.027386,           0.0054508,                   0,             0.98369,                   1,               0.995,             0.73149,            0.014919,           0.0013725,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.027017,           0.0057004,                   0,             0.99286,                   1,               0.995,             0.69904,            0.018465,            0.001318,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.025251,           0.0053615,                   0,             0.97851,                   1,               0.995,             0.77357,            0.011297,            0.001426,                   0,            0.009208,            0.009208,            0.009208
