               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092207,             0.02676,                   0,          0.00096774,                 0.9,             0.10133,            0.032908,            0.044644,           0.0084969,                   0,           0.0032381,           0.0032381,            0.070857
                   1,            0.057905,            0.019318,                   0,             0.23082,                 0.2,             0.16569,            0.049257,            0.038604,           0.0062451,                   0,           0.0065552,           0.0065552,            0.040841
                   2,            0.046532,            0.015076,                   0,                   1,             0.97947,               0.995,             0.41808,            0.030782,           0.0032504,                   0,           0.0098557,           0.0098557,            0.010808
                   3,            0.038098,           0.0098999,                   0,             0.98274,                   1,               0.995,             0.61292,            0.024337,           0.0025726,                   0,           0.0099258,           0.0099258,           0.0099258
                   4,            0.033363,           0.0076638,                   0,             0.91589,                   1,               0.995,             0.49989,            0.018743,           0.0028743,                   0,           0.0099258,           0.0099258,           0.0099258
                   5,            0.030147,           0.0068221,                   0,             0.99013,                   1,               0.995,             0.51087,            0.023148,           0.0020431,                   0,            0.009901,            0.009901,            0.009901
                   6,            0.026831,           0.0064511,                   0,             0.99352,                   1,               0.995,             0.83351,            0.014776,           0.0013905,                   0,           0.0098763,           0.0098763,           0.0098763
                   7,            0.025489,           0.0060207,                   0,             0.99279,                   1,               0.995,             0.73686,            0.017508,           0.0012852,                   0,           0.0098515,           0.0098515,           0.0098515
                   8,            0.025653,           0.0058345,                   0,             0.99367,                   1,               0.995,             0.64149,            0.017605,           0.0012844,                   0,           0.0098268,           0.0098268,           0.0098268
                   9,            0.023363,           0.0057142,                   0,             0.99331,                   1,               0.995,             0.70329,            0.015509,           0.0013532,                   0,            0.009802,            0.009802,            0.009802
                  10,            0.023558,            0.005561,                   0,             0.99303,                   1,               0.995,             0.77124,            0.013577,           0.0011968,                   0,           0.0097773,           0.0097773,           0.0097773
                  11,            0.023012,           0.0054165,                   0,             0.99418,                   1,               0.995,             0.76645,            0.013455,           0.0011536,                   0,           0.0097525,           0.0097525,           0.0097525
                  12,            0.021963,           0.0054624,                   0,             0.99421,                   1,               0.995,             0.78463,            0.012487,            0.001116,                   0,           0.0097278,           0.0097278,           0.0097278
                  13,             0.02202,           0.0051622,                   0,             0.99472,                   1,               0.995,             0.76133,            0.012574,           0.0011657,                   0,            0.009703,            0.009703,            0.009703
                  14,            0.020891,           0.0050897,                   0,             0.99431,                   1,               0.995,             0.75124,            0.014662,           0.0011836,                   0,           0.0096783,           0.0096783,           0.0096783
